mechanism_clean,is_night,motorcycle_involved,heavy_vehicle_involved,pedestrian_involved,total_accidents,severe_cases,severity_rate,excess_over_baseline,relative_amplification,exposure_percent,std_error,ci_lower,ci_upper,scenario_name
Collision - oncoming vehicle,FALSE,TRUE,TRUE,FALSE,510,317,0.621568627,0.435951486,3.348659618,0.00033133,0.021475982,0.579475704,0.663661551,Collision - oncoming vehicle + Motorcycle + HeavyVehicle
Collision - vehicle vs pedestrian,FALSE,FALSE,TRUE,TRUE,1460,697,0.47739726,0.291780118,2.571945972,0.000948515,0.013072221,0.451775708,0.503018813,Collision - vehicle vs pedestrian + HeavyVehicle + Pedestrian
Leaving carriageway (left),FALSE,TRUE,FALSE,FALSE,9619,4494,0.467200333,0.281583191,2.517010703,0.006249151,0.00508708,0.457229656,0.47717101,Leaving carriageway (left) + Motorcycle
Leaving carriageway (left),TRUE,TRUE,FALSE,FALSE,1554,689,0.443371943,0.257754802,2.388636841,0.001009583,0.012602048,0.418671929,0.468071958,Leaving carriageway (left) + Night + Motorcycle
Leaving carriageway (right),FALSE,TRUE,FALSE,FALSE,22191,9776,0.440538957,0.254921815,2.373374317,0.014416771,0.003332642,0.434006979,0.447070935,Leaving carriageway (right) + Motorcycle
Collision - oncoming vehicle,FALSE,TRUE,FALSE,FALSE,13677,5962,0.435914309,0.250297167,2.34845933,0.008885502,0.004240115,0.427603682,0.444224935,Collision - oncoming vehicle + Motorcycle
Collision - oncoming vehicle,TRUE,FALSE,TRUE,FALSE,1039,450,0.433108758,0.247491617,2.333344615,0.000675004,0.015372361,0.40297893,0.463238587,Collision - oncoming vehicle + Night + HeavyVehicle
Collision - oncoming vehicle,FALSE,FALSE,TRUE,FALSE,5956,2371,0.398085964,0.212468822,2.144661639,0.003869419,0.006342761,0.385654153,0.410517775,Collision - oncoming vehicle + HeavyVehicle
Collision - oncoming vehicle,TRUE,TRUE,FALSE,FALSE,1799,696,0.386881601,0.201264459,2.08429888,0.001168752,0.011482743,0.364375425,0.409387776,Collision - oncoming vehicle + Night + Motorcycle
Leaving carriageway (right),TRUE,TRUE,FALSE,FALSE,2899,1110,0.382890652,0.19727351,2.062797908,0.001883386,0.009028058,0.365195658,0.400585645,Leaving carriageway (right) + Night + Motorcycle
