mechanism_clean,is_night,motorcycle_involved,heavy_vehicle_involved,pedestrian_involved,total_accidents,severe_cases,severity_rate,excess_over_baseline,relative_amplification,exposure_percent,std_error,ci_lower,ci_upper,scenario_name,Euro NCAP Coverage,gap_score,log_exposure,SRPI
Leaving carriageway (right),False,True,False,False,22191,9776,0.440538957,0.254921815,2.373374317,0.014416771,0.003332642,0.434006979,0.447070935,Leaving carriageway (right) + Motorcycle,Not Covered,2,10.007442080255977,2.8217578945511956
Leaving carriageway (left),False,True,False,False,9619,4494,0.467200333,0.281583191,2.517010703,0.006249151,0.00508708,0.457229656,0.47717101,Leaving carriageway (left) + Motorcycle,Not Covered,2,9.171495588152615,2.667899284130523
Leaving carriageway (right),True,True,False,False,2899,1110,0.382890652,0.19727351,2.062797908,0.001883386,0.009028058,0.365195658,0.400585645,Leaving carriageway (right) + Night + Motorcycle,Not Covered,2,7.972121128921655,2.385869551784331
Leaving carriageway (left),True,True,False,False,1554,689,0.443371943,0.257754802,2.388636841,0.001009583,0.012602048,0.418671929,0.468071958,Leaving carriageway (left) + Night + Motorcycle,Not Covered,2,7.348587530927593,2.2914034776855186
Collision - oncoming vehicle,False,False,True,False,5956,2371,0.398085964,0.212468822,2.144661639,0.003869419,0.006342761,0.385654153,0.410517775,Collision - oncoming vehicle + HeavyVehicle,Partial,1,8.6921543938039,2.23747386076078
Collision - oncoming vehicle,False,True,False,False,13677,5962,0.435914309,0.250297167,2.34845933,0.008885502,0.004240115,0.427603682,0.444224935,Collision - oncoming vehicle + Motorcycle,Covered,0,9.523470868881551,2.1226513282763104
Collision - vehicle vs pedestrian,False,False,True,True,1460,697,0.47739726,0.291780118,2.571945972,0.000948515,0.013072221,0.451775708,0.503018813,Collision - vehicle vs pedestrian + HeavyVehicle + Pedestrian,Partial,1,7.286191714702382,1.9959369729404766
Collision - oncoming vehicle,True,False,True,False,1039,450,0.433108758,0.247491617,2.333344615,0.000675004,0.015372361,0.40297893,0.463238587,Collision - oncoming vehicle + Night + HeavyVehicle,Partial,1,6.946013991099227,1.9057571772198456
Collision - oncoming vehicle,False,True,True,False,510,317,0.621568627,0.435951486,3.348659618,0.00033133,0.021475982,0.579475704,0.663661551,Collision - oncoming vehicle + Motorcycle + HeavyVehicle,Partial,1,6.234410725718371,1.8576664586436742
Collision - oncoming vehicle,True,True,False,False,1799,696,0.386881601,0.201264459,2.08429888,0.001168752,0.011482743,0.364375425,0.409387776,Collision - oncoming vehicle + Night + Motorcycle,Covered,0,7.4949862339505335,1.6924380472901066
