mechanism_clean,is_night,motorcycle_involved,heavy_vehicle_involved,pedestrian_involved,total_accidents,severe_cases,severity_rate,excess_rate,exposure_weight,vru_multiplier,interaction_boost,AVPI
Leaving carriageway (right),0,1,0,0,6705,2921,0.4356450410141685,0.25006115275690033,8.810757927026174,1.2,1.0,2.643873940672995
Leaving carriageway (left),0,1,0,0,2868,1311,0.4571129707112971,0.27152908245402896,7.9617188159813645,1.2,1.0,2.5942058458324775
Collision - oncoming vehicle,0,1,1,0,156,94,0.6025641025641025,0.4169802143068344,5.056245805348308,1.2,1.0,2.5300253514026037
Collision - oncoming vehicle,0,1,0,0,4149,1780,0.4290190407327067,0.24343515247543854,8.330863613224745,1.2,1.0,2.4336300647249383
Leaving carriageway (left),1,1,0,0,467,213,0.45610278372591007,0.27051889546864194,6.148468295917647,1.2,1.15,2.2953220560851344
Collision - vehicle vs pedestrian,0,0,1,1,448,212,0.4732142857142857,0.2876303974570176,6.1070228877422545,1.2,1.0,2.1078785045764894
Collision - oncoming vehicle,1,1,0,0,576,241,0.4184027777777778,0.23281888952050964,6.3578422665081,1.2,1.15,2.0427115712042667
Collision - vehicle vs pedestrian,1,0,1,1,85,46,0.5411764705882353,0.35559258233096713,4.454347296253507,1.2,1.0,1.9007194292084952
Leaving carriageway (right),1,1,0,0,935,346,0.3700534759358289,0.18446958767856073,6.841615476477592,1.2,1.15,1.7416565806814917
Collision - oncoming vehicle,0,0,1,0,1760,716,0.4068181818181818,0.22123429356091365,7.473637108496206,1.0,1.0,1.6534248260287874
Collision - obstacle in carriageway,1,0,0,1,51,27,0.5294117647058824,0.34382787644861423,3.9512437185814275,1.2,1.0,1.6302572845089338
Collision - oncoming vehicle,1,0,1,0,318,144,0.4528301886792453,0.26724630042197717,5.765191102784844,1.0,1.0,1.5407259934449484
Leaving carriageway (right),0,1,0,1,12,7,0.5833333333333334,0.39774944507606524,2.5649493574615367,1.44,1.0,1.469098344353092
Collision - stationary vehicle,1,1,1,0,21,11,0.5238095238095238,0.3382256355522557,3.091042453358316,1.2,1.15,1.4427483216624455
Leaving carriageway (right),0,1,1,0,30,15,0.5,0.3144161117427319,3.4339872044851463,1.2,1.0,1.2956410855302156
Leaving carriageway (left),1,1,1,0,2,2,1.0,0.8144161117427319,1.0986122886681098,1.2,1.15,1.2347240168608145
Leaving carriageway (left),0,0,1,0,507,194,0.3826429980276134,0.19705910977034527,6.230481447578482,1.0,1.0,1.2277731275004677
Collision - stationary vehicle,0,1,0,0,13392,3916,0.29241338112305854,0.10682949286579038,9.502487461387123,1.2,1.0,1.2181750997562217
Collision - vehicle vs pedestrian,1,0,0,1,8763,2580,0.29441971927422117,0.10883583101695302,9.078407700715356,1.2,1.0,1.1856672557016736
Collision - stationary vehicle,0,1,1,0,239,87,0.36401673640167365,0.1784328481444055,5.480638923341991,1.2,1.0,1.1735112152915994
Collision - stationary vehicle,1,1,0,0,1833,542,0.2956901254773595,0.11010623722009136,7.51425465281641,1.2,1.15,1.1417655013625467
Collision - lateral same direction,1,0,1,0,820,282,0.3439024390243902,0.15831855076712206,6.710523109452428,1.0,1.0,1.06240029357779
Collision - obstacle in carriageway,0,1,0,0,595,192,0.3226890756302521,0.13710518737298397,6.39024066706535,1.2,1.0,1.0513621728197482
Leaving carriageway (left),0,1,1,0,19,9,0.47368421052631576,0.2881003222690476,2.995732273553991,1.2,1.0,1.0356857201312295
Collision - obstacle in carriageway,0,1,1,0,9,5,0.5555555555555556,0.36997166729828745,2.302585092994046,1.2,1.0,1.0222694951414273
Collision - stationary vehicle,0,1,0,1,8,4,0.5,0.3144161117427319,2.1972245773362196,1.44,1.0,0.9948136438535351
Collision - turning/crossing vehicle,0,1,1,0,114,41,0.35964912280701755,0.1740652345497494,4.74493212836325,1.2,1.0,0.9911132686154288
Collision - vehicle ahead,1,1,1,0,16,7,0.4375,0.2519161117427319,2.833213344056216,1.2,1.15,0.9849502833337254
Leaving carriageway (left),0,1,0,1,3,2,0.6666666666666666,0.4810827784093985,1.3862943611198906,1.44,1.0,0.9603681738348081
Collision - lateral same direction,0,1,1,0,209,70,0.3349282296650718,0.14934434140780364,5.3471075307174685,1.2,1.0,0.958272303134049
Leaving carriageway (right),0,0,0,0,18532,5218,0.2815670192100151,0.09598313095274694,9.82730820579731,1.0,1.0,0.9432558104300478
Collision - vehicle ahead,1,1,0,1,1,1,1.0,0.8144161117427319,0.6931471805599453,1.44,1.15,0.9348289436241044
Collision - vehicle vs pedestrian,1,1,0,0,3,2,0.6666666666666666,0.4810827784093985,1.3862943611198906,1.2,1.15,0.9203528332583577
Leaving carriageway (left),0,0,0,0,11745,3326,0.2831843337590464,0.09760044550177824,9.371268036082466,1.0,1.0,0.9146399352382231
Collision - oncoming vehicle,0,1,0,1,6,3,0.5,0.3144161117427319,1.9459101490553132,1.44,1.0,0.8810287241280356
Collision - lateral same direction,0,1,0,1,15,6,0.4,0.21441611174273187,2.772588722239781,1.44,1.0,0.8560622783295404
Collision - oncoming vehicle,1,1,1,0,6,3,0.5,0.3144161117427319,1.9459101490553132,1.2,1.15,0.844319193956034
