mechanism_clean,is_night,motorcycle_involved,heavy_vehicle_involved,pedestrian_involved,total_accidents,severe_cases,severity_rate,excess_over_baseline,relative_amplification
Collision - oncoming vehicle,False,True,True,False,510,317,0.6215686274509804,0.4359514855850445,3.3486596184091413
Collision - vehicle vs pedestrian,False,False,True,True,1460,697,0.4773972602739726,0.2917801184080367,2.571945971556755
Leaving carriageway (left),False,True,False,False,9619,4494,0.46720033267491423,0.2815831908089783,2.5170107026664326
Leaving carriageway (left),True,True,False,False,1554,689,0.44337194337194336,0.25775480150600744,2.3886368409452925
Leaving carriageway (right),False,True,False,False,22191,9776,0.44053895723491504,0.2549218153689791,2.373374316651742
Collision - oncoming vehicle,False,True,False,False,13677,5962,0.4359143086934269,0.250297166827491,2.3484593303794696
Collision - oncoming vehicle,True,False,True,False,1039,450,0.4331087584215592,0.2474916165556233,2.3333446149837656
Collision - oncoming vehicle,False,False,True,False,5956,2371,0.3980859637340497,0.21246882186811378,2.1446616391797035
Collision - oncoming vehicle,True,True,False,False,1799,696,0.386881600889383,0.20126445902344708,2.084298879942956
Leaving carriageway (right),True,True,False,False,2899,1110,0.3828906519489479,0.19727351008301197,2.0627979081021244
Collision - stationary vehicle,False,True,True,False,803,298,0.3711083437110834,0.1854912018451475,1.99932150651862
Leaving carriageway (left),False,False,True,False,1650,563,0.3412121212121212,0.15559497934618527,1.8382575972350954
Collision - obstacle in carriageway,False,True,False,False,1981,654,0.33013629480060575,0.14451915293466983,1.7785873194785555
Collision - lateral same direction,True,False,True,False,2815,918,0.3261101243339254,0.14049298246798947,1.7568965940088772
Collision - vehicle ahead,True,False,True,False,982,312,0.31771894093686354,0.13210179907092762,1.7116896518444382
Leaving carriageway (left),True,False,True,False,629,197,0.31319554848966613,0.1275784066237302,1.68732017604212
Collision - vehicle vs pedestrian,True,True,False,True,557,173,0.3105924596050269,0.12497531773909099,1.673296207897414
Leaving carriageway (right),True,False,True,False,1109,342,0.3083859332732191,0.1227687914072832,1.6614086941170247
Collision - lateral same direction,False,True,True,False,708,212,0.2994350282485876,0.11381788638265167,1.6131862889304585
Collision - obstacle in carriageway,True,True,False,False,1504,441,0.293218085106383,0.10760094324044706,1.5796929214552988
Collision - stationary vehicle,False,True,False,False,45144,13155,0.29140085061137694,0.10578370874544102,1.5699026915404424
Collision - stationary vehicle,True,True,False,False,6224,1797,0.2887210796915167,0.1031039378255808,1.5554656040337524
Leaving carriageway (right),False,False,True,False,2938,841,0.2862491490810075,0.1006320072150716,1.5421482423630584
Leaving carriageway (left),False,False,False,False,38912,11054,0.2840768914473684,0.0984597495814325,1.530445348913659
Collision - vehicle vs pedestrian,True,False,False,True,29006,8235,0.28390677790801905,0.09828963604208313,1.5295288735405372
Leaving carriageway (right),False,False,False,False,62544,17354,0.2774686620619084,0.09185152019597248,1.4948439528409143
Leaving carriageway (left),True,False,False,False,23405,6317,0.26989959410382397,0.08428245223788805,1.4540661028966926
Leaving carriageway (right),True,False,False,False,32659,8638,0.2644906457638017,0.0788735038978658,1.424925753650668
Collision - vehicle vs pedestrian,False,True,False,True,1718,446,0.259604190919674,0.0739870490537381,1.398600303344699
Collision - stationary vehicle,True,False,True,False,1276,323,0.25313479623824453,0.06751765437230861,1.3637468700012307
Collision - oncoming vehicle,True,False,False,False,16782,4158,0.24776546299606722,0.0621483211301313,1.3348199444586784
Collision - obstacle in carriageway,False,False,False,True,561,134,0.23885918003565063,0.053242038169714706,1.2868379376737165
Collision - oncoming vehicle,False,False,False,False,69332,16396,0.2364853170253274,0.05086817515939149,1.2740489086731634
Collision - stationary vehicle,False,False,True,False,9629,2252,0.23387683040814208,0.048259688542206164,1.259995860603555
Collision - turning/crossing vehicle,False,True,False,False,10394,2417,0.23253800269386185,0.04692086082792593,1.2527830153845114
Collision - vehicle ahead,True,True,False,False,1480,342,0.23108108108108108,0.04546393921514516,1.2449339471457976
Other accident,True,False,False,False,34107,7634,0.22382502125663353,0.03820787939069761,1.2058424076925702
Collision - lateral same direction,False,False,True,False,15972,3572,0.22364137240170298,0.03802423053576706,1.2048530117074558
Collision - lateral same direction,True,True,False,False,2212,470,0.21247739602169982,0.026860254155763902,1.1447078318615853
Collision - lateral same direction,False,True,False,False,24181,5114,0.2114883586286754,0.025871216762739485,1.1393794587216803
Collision - vehicle vs pedestrian,False,False,False,True,86329,18251,0.211412155822493,0.02579501395655709,1.1389689211742513
Collision - vehicle ahead,False,False,True,False,3877,811,0.2091823574929069,0.023565215626970976,1.1269560310544553
Other accident,False,False,False,False,152368,30798,0.20212905596975744,0.016511914103821523,1.0889568384570183
Other accident,False,True,False,False,40617,7876,0.19390895437870842,0.0082918125127725,1.0446715881379176
Collision - obstacle in carriageway,False,False,False,False,6586,1268,0.19252960825994533,0.006912466394009414,1.0372404527110002
Collision - turning/crossing vehicle,True,True,False,False,1298,244,0.18798151001540833,0.0023643681494724123,1.0127378760695502
Other accident,True,True,False,False,7077,1325,0.18722622580189346,0.0016090839359575448,1.0086688326292608
Collision - stationary vehicle,False,False,False,True,1331,247,0.1855747558226897,-4.238604324621753e-05,0.9997716480125697
Other accident,False,False,True,False,2882,524,0.18181818181818182,-0.0037989600477540963,0.9795333555426797
Collision - vehicle ahead,False,True,False,False,7861,1424,0.1811474367128864,-0.004469705153049508,0.9759197609223086
Other accident,True,False,False,True,1851,318,0.17179902755267423,-0.013818114313261687,0.9255558286570215
Other accident,False,True,True,False,520,83,0.1596153846153846,-0.026001757250551316,0.859917263086987
Collision - turning/crossing vehicle,True,False,True,False,2214,347,0.15672990063233966,-0.02888724123359626,0.8443719101414653
Collision - obstacle in carriageway,True,False,False,False,4799,742,0.15461554490518858,-0.031001596960747335,0.8329809593602159
Other accident,False,False,False,True,9000,1347,0.14966666666666667,-0.03595047519926925,0.8063192071708825
Collision - turning/crossing vehicle,False,False,True,False,11040,1638,0.1483695652173913,-0.03724757664854461,0.7993311594278987
Collision - turning/crossing vehicle,True,False,False,False,9364,1245,0.1329560017086715,-0.05266114015726442,0.7162916117127829
Collision - stationary vehicle,True,False,False,False,53273,7049,0.13231843522985376,-0.05329870663608216,0.7128567647347045
Collision - stationary vehicle,False,False,False,False,297981,39416,0.13227689013729063,-0.05334025172864529,0.7126329433131188
Collision - turning/crossing vehicle,False,False,False,False,49993,6433,0.12867801492208908,-0.05693912694384684,0.6932442425766271
Collision - vehicle ahead,False,False,False,True,719,86,0.11961057023643949,-0.06600657162949643,0.6443939877214012
Collision - vehicle vs pedestrian,False,False,False,False,692,81,0.11705202312138728,-0.06856511874454864,0.630609985396335
Collision - vehicle ahead,True,False,False,False,14259,1567,0.10989550459359002,-0.0757216372723459,0.5920547180548835
Collision - vehicle ahead,False,False,False,False,58936,5206,0.08833310709922627,-0.09728403476670965,0.47588873641328805
Collision - lateral same direction,True,False,False,False,31700,2768,0.08731861198738171,-0.09829852987855421,0.4704232115073109
Collision - lateral same direction,False,False,False,False,174102,11547,0.06632318985422339,-0.11929395201171253,0.35731177189510904
